date,price
2017-10-01,11446.2536
2017-10-02,11443.1806
2017-10-03,11269.1055
2017-10-04,11097.6404
2017-10-05,11261.4693
2017-10-06,11471.4909
2017-10-07,11611.4293
2017-10-08,11894.5947
2017-10-09,11895.3362
2017-10-10,12025.6771
2017-10-11,12130.8959
2017-10-12,12843.3856
2017-10-13,13656.6074
2017-10-14,13755.6341
2017-10-15,13778.8921
2017-10-16,13787.9659
2017-10-17,13508.3117
2017-10-18,13334.0485
2017-10-19,13392.086
2017-10-20,13681.0709
2017-10-21,13776.5329
2017-10-22,13661.5378
2017-10-23,13498.833
2017-10-24,13060.166
2017-10-25,13269.6114
2017-10-26,13499.6277
2017-10-27,13401.4946
2017-10-28,13384.0713
2017-10-29,14120.6711
2017-10-30,14128.9584
2017-10-31,14449.9127
2017-11-01,14869.4613
2017-11-02,15414.6315
2017-11-03,15880.4893
2017-11-04,15970.5853
2017-11-05,16013.3168
2017-11-06,15659.3479
2017-11-07,15772.9054
2017-11-08,16507.9011
2017-11-09,16446.6296
2017-11-10,15757.6868
2017-11-11,16115.4187
2017-11-12,15572.3761
2017-11-13,16177.2452
2017-11-14,16735.3473
2017-11-15,17597.7731
2017-11-16,17895.2367
2017-11-17,18354.362
2017-11-18,18695.3091
2017-11-19,18905.104
2017-11-20,19465.4494
2017-11-21,19168.4077
2017-11-22,19878.163
2017-11-23,20410.3423
2017-11-24,21194.7938
2017-11-25,21905.81
2017-11-26,22919.6212
2017-11-27,23907.7267
2017-11-28,24760.175
2017-11-29,22897.3378
2017-11-30,24251.7514
